timestamp,total_power_kw,temp_ATTIC,hum_ATTIC,temp_CORE_ZN,hum_CORE_ZN,temp_PERIMETER_ZN_1,hum_PERIMETER_ZN_1,temp_PERIMETER_ZN_2,hum_PERIMETER_ZN_2,temp_PERIMETER_ZN_3,hum_PERIMETER_ZN_3,temp_PERIMETER_ZN_4,hum_PERIMETER_ZN_4
2026-01-21T01:00:00,4145.681830191815,-22.474580146992555,100.0,20.645018122030283,4.986320030449143,20.40945484417652,4.077025843048873,20.409632191242462,4.078096323860215,20.461436131937315,4.063113273974019,20.41127493513339,4.077663564649301
2026-01-21T02:00:00,3777.14546415426,-22.474749850882713,100.0,20.31073641935962,5.041826730425167,19.918235419430285,4.211759888935571,19.88846339653477,4.221410689910335,19.97187433042154,4.196369473036296,19.890007792115487,4.220972056091285
2026-01-21T03:00:00,4145.681830191815,-22.475145347611218,100.0,20.643341809421084,4.897784540570261,20.404918327210012,4.078284081824901,20.407102020818385,4.078861527689371,20.457001948804518,4.064327738892157,20.408752257166714,4.07842665135979
2026-01-21T04:00:00,3777.14546415426,-22.47570373201815,100.0,20.30794893901275,4.978459055766462,19.91342626592881,4.213175864716704,19.884448104401475,4.222642426952359,19.967172627900798,4.197740110759468,19.885998071019817,4.222201967894567
2026-01-21T05:00:00,4145.681830191815,-22.47637322875947,100.0,20.642090105982756,4.853869955566682,20.40161250202537,4.079202104110268,20.405260416419132,4.079419076392326,20.45376673392688,4.065214849133157,20.40691605290189,4.078982617164164
2026-01-21T06:00:00,3777.14546415426,-22.47710296391455,100.0,20.30611361281457,5.0090357358714135,19.909887364921193,4.214218741926927,19.881499650571094,4.2235476066510325,19.963708118989405,4.198750836776627,19.88305364002061,4.223105827756216
2026-01-21T07:00:00,4514.218196229371,-22.477875788553416,100.0,20.981751927298678,5.016182208584887,20.968276418622334,3.925806244479395,20.94007411668696,3.9327330845022552,20.968182908428172,3.925828170619308,20.941683416198355,3.9323369966735537
2026-01-21T08:00:00,2595.0515295627047,-22.478639241663064,100.0,21.00007750295806,5.028976632397165,20.99999956377961,3.9180931757733433,20.99998704323679,3.918096123354886,20.999999451243607,3.9180931757733433,20.999988755874444,3.918095740551514
2026-01-21T09:00:00,2211.218196229371,-22.47938051388917,100.0,21.000096014365095,5.03827239297834,20.99999999997638,3.9180930992129,20.999999992800216,3.9180930992129013,20.999999999963986,3.9180930992129,20.99999999432934,3.918093099212903
2026-01-21T10:00:00,2211.218196229371,-22.480064025376407,100.0,21.000117223392387,5.235177586236575,21.0,3.918092907811799,20.999999999995946,3.9180930992129013,20.999999999999996,3.918092907811799,20.999999999997105,3.918093099212903
2026-01-21T11:00:00,2211.218196229371,-22.480605339668404,100.0,21.000130838113073,5.434165216837205,21.0,3.9180928695315784,20.999999999999996,3.9180929460920204,21.0,3.9180928695315784,21.0,3.918092984372242
2026-01-21T12:00:00,2211.218196229371,-22.480912665819417,100.0,21.000141138438057,5.575608387407994,21.0,3.918092946092019,21.0,3.9180929843722403,21.0,3.9180928695315784,21.0,3.918092869531581
2026-01-21T13:00:00,2211.218196229371,-22.480937267901783,100.0,21.000146639003553,5.68387127846849,21.0,3.918092946092019,21.0,3.91809286953158,21.0,3.918092907811799,20.999999999999996,3.918093022652462
2026-01-21T14:00:00,2211.218196229371,-22.48069458628149,100.0,21.00014105057237,5.6636462594438735,21.0,3.918092907811799,21.0,3.91809286953158,21.0,3.918092907811799,21.0,3.9180929460920217
2026-01-21T15:00:00,2211.218196229371,-22.480260493930672,100.0,21.000129047145183,5.5593457517876494,21.0,3.918092946092019,21.0,3.91809286953158,21.0,3.918092907811799,21.0,3.9180929460920217
2026-01-21T16:00:00,2211.218196229371,-22.4796849062335,100.0,21.000112669639588,5.381608005622705,21.0,3.9180928695315784,21.0,3.9180929078118005,21.0,3.918092907811799,21.0,3.918092907811802
2026-01-21T17:00:00,2978.8848628960377,-22.47899761524219,100.0,21.000104693439877,5.258737057078617,21.0,3.918092907811799,21.0,3.9180929078118005,21.0,3.9180928695315784,21.0,3.918092907811801
2026-01-21T18:00:00,4514.218196229371,-22.47824802558785,100.0,21.000087280321782,5.084759078494945,21.0,3.918092907811799,21.0,3.9180929843722403,21.0,3.918092907811799,21.0,3.918092869531581
2026-01-21T19:00:00,4071.9745569843044,-22.47748207959334,100.0,20.599329036684892,5.099669992633382,20.367289034786804,4.086783184842128,20.34550113410755,4.093051790698444,20.398382486440187,4.078052628122118,20.346408165713914,4.092811321404338
2026-01-21T20:00:00,3777.14546415426,-22.4766329899451,100.0,20.33399676172271,5.201215996683318,19.962229698884432,4.19890466251943,19.925748897310086,4.210034236839552,20.010856590417603,4.1849053327414305,19.927239723194017,4.209612944076311
2026-01-21T21:00:00,4145.681830191815,-22.475834493336198,100.0,20.651573370535942,5.104871663693127,20.42840343400254,4.071805597679802,20.420056434559267,4.074956734083428,20.478750276379262,4.058368891011105,20.42166726979117,4.074532984986013
2026-01-21T22:00:00,3777.14546415426,-22.47511718089254,100.0,20.320718254178196,5.262540599647573,19.935536664421527,4.206679607083147,19.902982899082815,4.2169663428630395,19.98878454190778,4.191453277873506,19.904508306529127,4.216534038449821
